srcX: 302	srcY: 13	dstX: 109	dstY: 14	idx: 0.855916
srcX: 353	srcY: 18	dstX: 160	dstY: 19	idx: 0.854983
srcX: 308	srcY: 23	dstX: 115	dstY: 24	idx: 0.858533
srcX: 310	srcY: 23	dstX: 117	dstY: 24	idx: 0.852538
srcX: 313	srcY: 30	dstX: 120	dstY: 30	idx: 0.869588
srcX: 241	srcY: 37	dstX: 49	dstY: 37	idx: 0.86363
srcX: 265	srcY: 38	dstX: 73	dstY: 38	idx: 0.862173
srcX: 232	srcY: 43	dstX: 40	dstY: 43	idx: 0.867917
srcX: 271	srcY: 43	dstX: 79	dstY: 43	idx: 0.851431
srcX: 403	srcY: 46	dstX: 210	dstY: 46	idx: 0.880097
srcX: 240	srcY: 52	dstX: 48	dstY: 52	idx: 0.854964
srcX: 315	srcY: 61	dstX: 123	dstY: 61	idx: 0.855815
srcX: 381	srcY: 66	dstX: 189	dstY: 66	idx: 0.906328
srcX: 332	srcY: 71	dstX: 140	dstY: 71	idx: 0.853976
srcX: 398	srcY: 72	dstX: 206	dstY: 72	idx: 0.870116
srcX: 421	srcY: 71	dstX: 229	dstY: 71	idx: 0.875977
srcX: 425	srcY: 70	dstX: 233	dstY: 70	idx: 0.890024
srcX: 392	srcY: 78	dstX: 200	dstY: 78	idx: 0.867715
srcX: 396	srcY: 78	dstX: 204	dstY: 78	idx: 0.865587
srcX: 383	srcY: 83	dstX: 191	dstY: 83	idx: 0.861534
srcX: 392	srcY: 80	dstX: 200	dstY: 80	idx: 0.855883
srcX: 420	srcY: 80	dstX: 228	dstY: 80	idx: 0.908261
srcX: 406	srcY: 87	dstX: 214	dstY: 87	idx: 0.869661
srcX: 435	srcY: 87	dstX: 243	dstY: 87	idx: 0.896972
srcX: 216	srcY: 93	dstX: 26	dstY: 92	idx: 0.860333
srcX: 403	srcY: 93	dstX: 211	dstY: 93	idx: 0.869467
srcX: 438	srcY: 91	dstX: 246	dstY: 91	idx: 0.898855
srcX: 441	srcY: 92	dstX: 249	dstY: 92	idx: 0.891067
srcX: 401	srcY: 95	dstX: 209	dstY: 95	idx: 0.85987
srcX: 412	srcY: 98	dstX: 220	dstY: 98	idx: 0.852343
