srcX: 313	srcY: 30	dstX: 120	dstY: 30	idx: 0.869588
srcX: 232	srcY: 43	dstX: 40	dstY: 43	idx: 0.867917
srcX: 403	srcY: 46	dstX: 210	dstY: 46	idx: 0.880097
srcX: 240	srcY: 52	dstX: 48	dstY: 52	idx: 0.854964
srcX: 435	srcY: 87	dstX: 243	dstY: 87	idx: 0.896972
srcX: 412	srcY: 98	dstX: 220	dstY: 98	idx: 0.852343
srcX: 250	srcY: 103	dstX: 60	dstY: 102	idx: 0.852411
srcX: 227	srcY: 113	dstX: 37	dstY: 112	idx: 0.863003
srcX: 253	srcY: 112	dstX: 63	dstY: 111	idx: 0.860334
srcX: 255	srcY: 113	dstX: 65	dstY: 112	idx: 0.855612
srcX: 251	srcY: 116	dstX: 61	dstY: 115	idx: 0.85531
srcX: 386	srcY: 117	dstX: 195	dstY: 116	idx: 0.917419
srcX: 393	srcY: 128	dstX: 202	dstY: 127	idx: 0.921748
srcX: 393	srcY: 153	dstX: 203	dstY: 152	idx: 0.887222
srcX: 395	srcY: 153	dstX: 205	dstY: 152	idx: 0.886979
srcX: 328	srcY: 158	dstX: 138	dstY: 157	idx: 0.862766
srcX: 352	srcY: 158	dstX: 162	dstY: 157	idx: 0.863715
srcX: 325	srcY: 163	dstX: 135	dstY: 162	idx: 0.865104
srcX: 330	srcY: 163	dstX: 140	dstY: 162	idx: 0.859497
srcX: 412	srcY: 173	dstX: 222	dstY: 172	idx: 0.882808
srcX: 418	srcY: 182	dstX: 228	dstY: 181	idx: 0.892039
srcX: 407	srcY: 191	dstX: 217	dstY: 190	idx: 0.876791
srcX: 403	srcY: 202	dstX: 213	dstY: 201	idx: 0.876876
srcX: 420	srcY: 203	dstX: 230	dstY: 202	idx: 0.885491
srcX: 378	srcY: 206	dstX: 188	dstY: 205	idx: 0.875382
srcX: 380	srcY: 206	dstX: 190	dstY: 205	idx: 0.874015
srcX: 357	srcY: 212	dstX: 167	dstY: 211	idx: 0.853055
srcX: 410	srcY: 213	dstX: 220	dstY: 212	idx: 0.871894
