srcX: 313	srcY: 30	dstX: 120.054	dstY: 29.7241	idx: 0.96196
srcX: 232	srcY: 43	dstX: 40.1917	dstY: 43.1245	idx: 0.791268
srcX: 240	srcY: 52	dstX: 55.7477	dstY: 55.2977	idx: 0.690594
srcX: 435	srcY: 87	dstX: 242.482	dstY: 87.423	idx: 0.967269
srcX: 412	srcY: 98	dstX: 220.7	dstY: 97.0545	idx: 0.961842
srcX: 250	srcY: 103	dstX: 59.222	dstY: 101.755	idx: 0.959239
srcX: 227	srcY: 113	dstX: 37.1773	dstY: 111.106	idx: 0.81243
srcX: 253	srcY: 112	dstX: 62.4751	dstY: 111.407	idx: 0.88007
srcX: 255	srcY: 113	dstX: 64.3129	dstY: 112.601	idx: 0.963659
srcX: 251	srcY: 116	dstX: 53.9914	dstY: 110.907	idx: 0.66485
srcX: 386	srcY: 117	dstX: 195.9	dstY: 115.789	idx: 0.959947
srcX: 393	srcY: 128	dstX: 200.757	dstY: 127.524	idx: 0.953318
srcX: 393	srcY: 153	dstX: 202.804	dstY: 151.419	idx: 0.990436
srcX: 395	srcY: 153	dstX: 204.067	dstY: 150.809	idx: 0.980569
srcX: 328	srcY: 158	dstX: 137.266	dstY: 157.45	idx: 0.931502
srcX: 352	srcY: 158	dstX: 161.686	dstY: 157.402	idx: 0.665171
srcX: 325	srcY: 163	dstX: 134.449	dstY: 159.788	idx: 0.761789
srcX: 330	srcY: 163	dstX: 140.01	dstY: 161.323	idx: 0.934788
srcX: 412	srcY: 173	dstX: 222.158	dstY: 172.414	idx: 0.855867
srcX: 418	srcY: 182	dstX: 228.474	dstY: 179.598	idx: 0.952123
srcX: 407	srcY: 191	dstX: 216.859	dstY: 188.91	idx: 0.956545
srcX: 403	srcY: 202	dstX: 213.964	dstY: 199.99	idx: 0.864889
srcX: 420	srcY: 203	dstX: 231.304	dstY: 200.951	idx: 0.89698
srcX: 378	srcY: 206	dstX: 188.726	dstY: 204.165	idx: 0.959126
srcX: 380	srcY: 206	dstX: 190.201	dstY: 204.407	idx: 0.945565
srcX: 357	srcY: 212	dstX: 170.829	dstY: 202.015	idx: 0.0331541
srcX: 410	srcY: 213	dstX: 220.547	dstY: 210.911	idx: 0.886771
srcX: 387	srcY: 218	dstX: 197.262	dstY: 216.458	idx: 0.963573
srcX: 386	srcY: 221	dstX: 191.685	dstY: 219.176	idx: 0.575922
srcX: 272	srcY: 230	dstX: 82.7404	dstY: 228.128	idx: 0.974749
srcX: 221	srcY: 238	dstX: 31.3009	dstY: 235.632	idx: 0.971629
srcX: 265	srcY: 240	dstX: 76.045	dstY: 238.311	idx: 0.889536
srcX: 230	srcY: 247	dstX: 40.6125	dstY: 244.824	idx: 0.95603
srcX: 256	srcY: 247	dstX: 66.7452	dstY: 244.95	idx: 0.95767
srcX: 432	srcY: 248	dstX: 243.933	dstY: 248.047	idx: 0.95208
srcX: 251	srcY: 252	dstX: 61.8937	dstY: 250.341	idx: 0.955383
srcX: 442	srcY: 252	dstX: 252.313	dstY: 250.636	idx: 0.976842
srcX: 321	srcY: 257	dstX: 129.101	dstY: 254.502	idx: 0.530022
srcX: 410	srcY: 263	dstX: 220.511	dstY: 261.28	idx: 0.926374
srcX: 425	srcY: 268	dstX: 235.091	dstY: 266.983	idx: 0.962382
srcX: 418	srcY: 276	dstX: 228.108	dstY: 274.346	idx: 0.974844
srcX: 385	srcY: 283	dstX: 195.726	dstY: 281.732	idx: 0.981834
srcX: 390	srcY: 285	dstX: 202.175	dstY: 285.414	idx: 0.953667
srcX: 417	srcY: 287	dstX: 227.026	dstY: 284.83	idx: 0.958863
srcX: 435	srcY: 288	dstX: 245.423	dstY: 286.526	idx: 0.968339
srcX: 397	srcY: 295	dstX: 208.222	dstY: 293.854	idx: 0.963251
srcX: 401	srcY: 296	dstX: 212.724	dstY: 295.487	idx: 0.968466
srcX: 368	srcY: 301	dstX: 169.522	dstY: 295.631	idx: 0.0184887
srcX: 390	srcY: 301	dstX: 200.378	dstY: 299.443	idx: 0.959811
srcX: 282	srcY: 306	dstX: 93.55	dstY: 304.214	idx: 0.9607
srcX: 350	srcY: 313	dstX: 161.281	dstY: 311.932	idx: 0.959735
srcX: 408	srcY: 318	dstX: 219.405	dstY: 317.091	idx: 0.955728
srcX: 340	srcY: 321	dstX: 152.714	dstY: 320.287	idx: 0.939164
srcX: 393	srcY: 322	dstX: 203.858	dstY: 320.333	idx: 0.871102
srcX: 408	srcY: 323	dstX: 220.582	dstY: 321.489	idx: 0.973435
srcX: 262	srcY: 326	dstX: 73.4611	dstY: 323.717	idx: 0.793715
srcX: 337	srcY: 328	dstX: 148.492	dstY: 327.579	idx: 0.961482
srcX: 386	srcY: 328	dstX: 196.645	dstY: 326.133	idx: 0.985619
srcX: 282	srcY: 331	dstX: 92.9803	dstY: 325.95	idx: 0.81525
srcX: 333	srcY: 333	dstX: 284.107	dstY: 303.5	idx: 0.352956
srcX: 345	srcY: 342	dstX: 156.083	dstY: 340.42	idx: 0.967355
srcX: 221	srcY: 347	dstX: 30.8779	dstY: 346.371	idx: 0.959587
srcX: 241	srcY: 351	dstX: 51.1265	dstY: 349.952	idx: 0.972669
srcX: 305	srcY: 356	dstX: 120.261	dstY: 358.001	idx: 0.833554
srcX: 225	srcY: 363	dstX: 36.4059	dstY: 361.094	idx: 0.950582
srcX: 242	srcY: 368	dstX: 53.6898	dstY: 366.599	idx: 0.956167
srcX: 303	srcY: 367	dstX: 115.004	dstY: 367.64	idx: 0.965659
srcX: 232	srcY: 376	dstX: 41.7612	dstY: 375.883	idx: 0.929482
srcX: 241	srcY: 378	dstX: 51.5495	dstY: 376.149	idx: 0.681069
srcX: 288	srcY: 378	dstX: 98.0275	dstY: 380.686	idx: 0.848577
srcX: 240	srcY: 381	dstX: 50.6289	dstY: 379.563	idx: 0.891591
srcX: 222	srcY: 387	dstX: 33.2067	dstY: 386.045	idx: 0.968482
srcX: 293	srcY: 388	dstX: 105.036	dstY: 386.868	idx: 0.979775
srcX: 271	srcY: 393	dstX: 80.9633	dstY: 391.514	idx: 0.956596
srcX: 292	srcY: 390	dstX: 103.035	dstY: 389.394	idx: 0.957882
srcX: 350	srcY: 391	dstX: 164.283	dstY: 382.119	idx: 0.487932
