srcX: 313	srcY: 30	dstX: 119.982	dstY: 29.6661	idx: 0.957559
srcX: 232	srcY: 43	dstX: 40.7976	dstY: 42.7993	idx: 0.908788
srcX: 240	srcY: 52	dstX: 49.1067	dstY: 50.0887	idx: 0.936198
srcX: 435	srcY: 87	dstX: 242.522	dstY: 87.4051	idx: 0.96809
srcX: 412	srcY: 98	dstX: 220.815	dstY: 97.0586	idx: 0.958801
srcX: 250	srcY: 103	dstX: 59.2226	dstY: 101.753	idx: 0.959226
srcX: 227	srcY: 113	dstX: 36.9947	dstY: 112.172	idx: 0.927843
srcX: 253	srcY: 112	dstX: 62.5936	dstY: 111.545	idx: 0.927089
srcX: 255	srcY: 113	dstX: 64.3184	dstY: 112.597	idx: 0.968071
srcX: 251	srcY: 116	dstX: 58.4239	dstY: 116.155	idx: 0.901486
srcX: 386	srcY: 117	dstX: 195.908	dstY: 115.784	idx: 0.957691
srcX: 393	srcY: 128	dstX: 200.595	dstY: 128.028	idx: 0.963819
srcX: 393	srcY: 153	dstX: 202.813	dstY: 151.419	idx: 0.990436
srcX: 395	srcY: 153	dstX: 204.01	dstY: 150.809	idx: 0.980569
srcX: 328	srcY: 158	dstX: 137.461	dstY: 157.153	idx: 0.949631
srcX: 352	srcY: 158	dstX: 161.984	dstY: 157.736	idx: 0.887301
srcX: 325	srcY: 163	dstX: 134.757	dstY: 162.19	idx: 0.890148
srcX: 330	srcY: 163	dstX: 139.891	dstY: 161.298	idx: 0.948292
srcX: 412	srcY: 173	dstX: 222.433	dstY: 172.481	idx: 0.937023
srcX: 418	srcY: 182	dstX: 228.582	dstY: 179.598	idx: 0.952123
srcX: 407	srcY: 191	dstX: 216.463	dstY: 188.911	idx: 0.966238
srcX: 403	srcY: 202	dstX: 213.789	dstY: 199.787	idx: 0.918503
srcX: 420	srcY: 203	dstX: 229.529	dstY: 201.923	idx: 0.927512
srcX: 378	srcY: 206	dstX: 188.483	dstY: 204.406	idx: 0.94312
srcX: 380	srcY: 206	dstX: 190.588	dstY: 204.133	idx: 0.947794
srcX: 357	srcY: 212	dstX: 165.43	dstY: 209.729	idx: 0.812589
srcX: 410	srcY: 213	dstX: 220.153	dstY: 211.202	idx: 0.948887
srcX: 387	srcY: 218	dstX: 197.234	dstY: 216.533	idx: 0.956632
srcX: 386	srcY: 221	dstX: 195.457	dstY: 219.019	idx: 0.896908
srcX: 272	srcY: 230	dstX: 82.6092	dstY: 228.015	idx: 0.963979
srcX: 221	srcY: 238	dstX: 31.3366	dstY: 235.632	idx: 0.971629
srcX: 265	srcY: 240	dstX: 76.0268	dstY: 237.693	idx: 0.938753
srcX: 230	srcY: 247	dstX: 40.6345	dstY: 244.824	idx: 0.95603
srcX: 256	srcY: 247	dstX: 66.6457	dstY: 245.286	idx: 0.922852
srcX: 432	srcY: 248	dstX: 243.949	dstY: 248.047	idx: 0.95208
srcX: 251	srcY: 252	dstX: 61.6176	dstY: 250.341	idx: 0.955923
srcX: 442	srcY: 252	dstX: 252.322	dstY: 250.636	idx: 0.976842
srcX: 321	srcY: 257	dstX: 130.873	dstY: 256.166	idx: 0.921582
srcX: 410	srcY: 263	dstX: 220.464	dstY: 261.387	idx: 0.950892
srcX: 425	srcY: 268	dstX: 235.1	dstY: 266.983	idx: 0.962382
srcX: 418	srcY: 276	dstX: 228.1	dstY: 274.339	idx: 0.975242
srcX: 385	srcY: 283	dstX: 195.73	dstY: 281.725	idx: 0.981135
