srcX: 528	srcY: 90	dstX: 251	dstY: 93	idx: 0.938145
srcX: 540	srcY: 93	dstX: 262	dstY: 96	idx: 0.975213
srcX: 181	srcY: 102	dstX: 334	dstY: 66	idx: 0.87
srcX: 185	srcY: 103	dstX: 338	dstY: 67	idx: 0.88071
srcX: 167	srcY: 108	dstX: 303	dstY: 64	idx: 0.862413
srcX: 188	srcY: 105	dstX: 340	dstY: 69	idx: 0.870207
srcX: 190	srcY: 105	dstX: 195	dstY: 103	idx: 0.876886
srcX: 202	srcY: 107	dstX: 271	dstY: 19	idx: 0.863834
srcX: 205	srcY: 106	dstX: 185	dstY: 102	idx: 0.875425
srcX: 222	srcY: 108	dstX: 358	dstY: 108	idx: 0.889503
srcX: 585	srcY: 108	dstX: 306	dstY: 111	idx: 0.958868
srcX: 590	srcY: 108	dstX: 311	dstY: 111	idx: 0.963819
srcX: 592	srcY: 113	dstX: 313	dstY: 116	idx: 0.968149
srcX: 595	srcY: 116	dstX: 316	dstY: 119	idx: 0.970071
srcX: 598	srcY: 120	dstX: 319	dstY: 124	idx: 0.976063
srcX: 601	srcY: 122	dstX: 322	dstY: 126	idx: 0.982863
srcX: 613	srcY: 121	dstX: 334	dstY: 125	idx: 0.963797
srcX: 607	srcY: 125	dstX: 328	dstY: 129	idx: 0.970817
srcX: 617	srcY: 125	dstX: 337	dstY: 129	idx: 0.942669
srcX: 627	srcY: 128	dstX: 347	dstY: 132	idx: 0.962204
srcX: 616	srcY: 133	dstX: 336	dstY: 137	idx: 0.912122
srcX: 625	srcY: 130	dstX: 345	dstY: 134	idx: 0.960665
srcX: 615	srcY: 137	dstX: 335	dstY: 141	idx: 0.894151
srcX: 620	srcY: 135	dstX: 340	dstY: 139	idx: 0.915403
srcX: 613	srcY: 142	dstX: 333	dstY: 145	idx: 0.912936
srcX: 603	srcY: 152	dstX: 324	dstY: 155	idx: 0.881855
srcX: 605	srcY: 151	dstX: 325	dstY: 154	idx: 0.892983
srcX: 486	srcY: 158	dstX: 208	dstY: 160	idx: 0.944912
srcX: 491	srcY: 158	dstX: 213	dstY: 160	idx: 0.948105
srcX: 603	srcY: 157	dstX: 323	dstY: 160	idx: 0.910292
srcX: 605	srcY: 157	dstX: 325	dstY: 160	idx: 0.921697
srcX: 491	srcY: 163	dstX: 213	dstY: 165	idx: 0.952927
srcX: 496	srcY: 162	dstX: 218	dstY: 164	idx: 0.961048
srcX: 603	srcY: 163	dstX: 323	dstY: 166	idx: 0.916611
srcX: 605	srcY: 161	dstX: 325	dstY: 164	idx: 0.933406
srcX: 617	srcY: 163	dstX: 337	dstY: 166	idx: 0.97362
srcX: 590	srcY: 165	dstX: 311	dstY: 168	idx: 0.937995
srcX: 618	srcY: 166	dstX: 338	dstY: 169	idx: 0.980223
srcX: 495	srcY: 170	dstX: 217	dstY: 172	idx: 0.945395
srcX: 618	srcY: 170	dstX: 338	dstY: 173	idx: 0.984791
srcX: 620	srcY: 173	dstX: 340	dstY: 176	idx: 0.985421
srcX: 247	srcY: 177	dstX: 358	dstY: 77	idx: 0.858179
srcX: 596	srcY: 177	dstX: 316	dstY: 180	idx: 0.901343
srcX: 608	srcY: 175	dstX: 328	dstY: 178	idx: 0.963164
srcX: 618	srcY: 177	dstX: 338	dstY: 180	idx: 0.982047
srcX: 620	srcY: 177	dstX: 340	dstY: 180	idx: 0.981746
srcX: 288	srcY: 180	dstX: 380	dstY: 79	idx: 0.850642
srcX: 291	srcY: 180	dstX: 12	dstY: 180	idx: 0.8539
srcX: 596	srcY: 181	dstX: 316	dstY: 184	idx: 0.895056
srcX: 623	srcY: 181	dstX: 343	dstY: 184	idx: 0.969736
srcX: 237	srcY: 193	dstX: 358	dstY: 110	idx: 0.867759
srcX: 302	srcY: 193	dstX: 22	dstY: 193	idx: 0.979182
srcX: 295	srcY: 196	dstX: 15	dstY: 196	idx: 0.962172
srcX: 316	srcY: 197	dstX: 36	dstY: 197	idx: 0.982831
srcX: 563	srcY: 196	dstX: 284	dstY: 198	idx: 0.968559
srcX: 303	srcY: 200	dstX: 23	dstY: 200	idx: 0.967877
srcX: 305	srcY: 201	dstX: 25	dstY: 201	idx: 0.969426
srcX: 320	srcY: 201	dstX: 40	dstY: 201	idx: 0.977628
srcX: 416	srcY: 203	dstX: 138	dstY: 204	idx: 0.989503
srcX: 452	srcY: 203	dstX: 174	dstY: 204	idx: 0.977808
srcX: 508	srcY: 203	dstX: 230	dstY: 205	idx: 0.982028
srcX: 551	srcY: 203	dstX: 272	dstY: 205	idx: 0.962363
srcX: 596	srcY: 203	dstX: 316	dstY: 205	idx: 0.901464
srcX: 323	srcY: 205	dstX: 43	dstY: 205	idx: 0.975351
srcX: 328	srcY: 207	dstX: 48	dstY: 207	idx: 0.970951
srcX: 422	srcY: 207	dstX: 144	dstY: 208	idx: 0.989538
srcX: 462	srcY: 206	dstX: 184	dstY: 207	idx: 0.969021
srcX: 595	srcY: 205	dstX: 315	dstY: 207	idx: 0.913367
srcX: 298	srcY: 212	dstX: 18	dstY: 212	idx: 0.931512
srcX: 301	srcY: 213	dstX: 21	dstY: 213	idx: 0.93273
srcX: 323	srcY: 213	dstX: 43	dstY: 213	idx: 0.933675
srcX: 333	srcY: 210	dstX: 54	dstY: 211	idx: 0.964496
srcX: 337	srcY: 212	dstX: 58	dstY: 213	idx: 0.968151
