srcX: 528	srcY: 90	dstX: 251.826	dstY: 93.1451	idx: 0.98431
srcX: 540	srcY: 93	dstX: 261.994	dstY: 95.1786	idx: 0.959128
srcX: 181	srcY: 102	dstX: 328.767	dstY: 90.197	idx: 0.840913
srcX: 205	srcY: 106	dstX: 199.1	dstY: 137.296	idx: 0.863987
srcX: 222	srcY: 108	dstX: 364.385	dstY: 103.088	idx: 0.842123
srcX: 585	srcY: 108	dstX: 305.949	dstY: 111.607	idx: 0.957485
srcX: 590	srcY: 108	dstX: 310.95	dstY: 113.287	idx: 0.972443
srcX: 592	srcY: 113	dstX: 314.037	dstY: 115.806	idx: 0.950026
srcX: 595	srcY: 116	dstX: 315.755	dstY: 120.181	idx: 0.980777
srcX: 598	srcY: 120	dstX: 319.697	dstY: 122.782	idx: 0.97016
srcX: 601	srcY: 122	dstX: 321.281	dstY: 125.63	idx: 0.955004
srcX: 613	srcY: 121	dstX: 334.533	dstY: 124.04	idx: 0.955681
srcX: 607	srcY: 125	dstX: 327.678	dstY: 128.345	idx: 0.892732
srcX: 617	srcY: 125	dstX: 336.627	dstY: 129.601	idx: 0.952338
srcX: 627	srcY: 128	dstX: 347.58	dstY: 131.709	idx: 0.990182
srcX: 616	srcY: 133	dstX: 337.437	dstY: 138.095	idx: 0.930353
srcX: 625	srcY: 130	dstX: 345.415	dstY: 132.692	idx: 0.939167
srcX: 615	srcY: 137	dstX: 335.935	dstY: 140.296	idx: 0.952232
srcX: 620	srcY: 135	dstX: 339.776	dstY: 139.676	idx: 0.946879
srcX: 613	srcY: 142	dstX: 332.758	dstY: 146.714	idx: 0.976632
srcX: 603	srcY: 152	dstX: 322.975	dstY: 154.626	idx: 0.961301
srcX: 605	srcY: 151	dstX: 326.857	dstY: 153.586	idx: 0.952764
srcX: 486	srcY: 158	dstX: 207.411	dstY: 159.895	idx: 0.978542
srcX: 491	srcY: 158	dstX: 214.473	dstY: 160.067	idx: 0.956012
srcX: 603	srcY: 157	dstX: 323.591	dstY: 159.23	idx: 0.957163
srcX: 605	srcY: 157	dstX: 324.899	dstY: 159.441	idx: 0.954752
srcX: 491	srcY: 163	dstX: 214.741	dstY: 163.066	idx: 0.956123
srcX: 496	srcY: 162	dstX: 219.036	dstY: 164.559	idx: 0.978794
srcX: 603	srcY: 163	dstX: 323.721	dstY: 166.586	idx: 0.961462
srcX: 605	srcY: 161	dstX: 324.566	dstY: 164.57	idx: 0.932995
srcX: 617	srcY: 163	dstX: 337.598	dstY: 166.748	idx: 0.987843
srcX: 590	srcY: 165	dstX: 310.275	dstY: 168.433	idx: 0.95706
srcX: 618	srcY: 166	dstX: 338.284	dstY: 169.192	idx: 0.989429
srcX: 495	srcY: 170	dstX: 216.369	dstY: 171.743	idx: 0.962208
srcX: 618	srcY: 170	dstX: 338.942	dstY: 172.754	idx: 0.997821
srcX: 620	srcY: 173	dstX: 339.601	dstY: 176.622	idx: 0.994196
srcX: 596	srcY: 177	dstX: 317.728	dstY: 180.845	idx: 0.965311
srcX: 608	srcY: 175	dstX: 328.187	dstY: 177.155	idx: 0.982874
srcX: 618	srcY: 177	dstX: 338.798	dstY: 178.777	idx: 0.993182
srcX: 620	srcY: 177	dstX: 340.903	dstY: 179.502	idx: 0.995395
